timestamp,"200, azet.sk: count(campaign)","200, centrum.sk: count(campaign)","200, gmail.com: count(campaign)","200, hotmail.com: count(campaign)","200, icloud.com: count(campaign)","200, seznam.cz: count(campaign)","200, stonline.sk: count(campaign)","200, yahoo.com: count(campaign)","200, zoznam.sk: count(campaign)","200, (other): count(campaign)","421, azet.sk: count(campaign)","421, centrum.sk: count(campaign)","421, icloud.com: count(campaign)","421, seznam.cz: count(campaign)","421, zoznam.sk: count(campaign)","421, (other): count(campaign)","451, centrum.sk: count(campaign)","451, hotmail.com: count(campaign)","451, icloud.com: count(campaign)","451, zoznam.sk: count(campaign)","451, (other): count(campaign)","452, gmail.com: count(campaign)","452, (other): count(campaign)","499, azet.sk: count(campaign)","499, centrum.sk: count(campaign)","499, seznam.cz: count(campaign)","499, zoznam.sk: count(campaign)","499, (other): count(campaign)","550, gmail.com: count(campaign)","550, hotmail.com: count(campaign)","550, icloud.com: count(campaign)","550, seznam.cz: count(campaign)","550, zoznam.sk: count(campaign)","550, (other): count(campaign)","552, gmail.com: count(campaign)","552, seznam.cz: count(campaign)","552, (other): count(campaign)","554, azet.sk: count(campaign)","554, centrum.sk: count(campaign)","554, stonline.sk: count(campaign)","554, yahoo.com: count(campaign)","554, (other): count(campaign)","605, azet.sk: count(campaign)","605, centrum.sk: count(campaign)","605, gmail.com: count(campaign)","605, hotmail.com: count(campaign)","605, icloud.com: count(campaign)","605, seznam.cz: count(campaign)","605, stonline.sk: count(campaign)","605, yahoo.com: count(campaign)","605, zoznam.sk: count(campaign)","605, (other): count(campaign)","(other), azet.sk: count(campaign)","(other), centrum.sk: count(campaign)","(other), gmail.com: count(campaign)","(other), hotmail.com: count(campaign)","(other), yahoo.com: count(campaign)","(other), zoznam.sk: count(campaign)","(other), (other): count(campaign)"
1519858800,107,69,1322,23,4,32,22,53,48,338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519945200,10876,1197,103561,3808,424,2129,844,3816,386,20115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,9,23,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520031600,44,25,731,27,2,10,6,28,5,176,0,0,0,0,0,0,0,0,0,0,5,33,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1520118000,10855,1180,103369,3795,426,2120,834,3802,368,20027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,4,22,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520204400,91,40,1547,28,6,23,19,61,27,396,0,0,0,0,0,0,1,0,0,0,0,40,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1520290800,10812,1164,103130,3783,430,2124,836,3805,365,19901,26,0,0,0,0,0,4,0,0,0,12,38,1,0,8,0,0,29,8,0,0,0,0,7,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
1520377200,53,10,1060,32,5,21,18,48,6,260,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1520463600,10491,1203,104476,3805,431,2138,852,3835,392,19948,6,0,0,0,0,0,0,0,0,0,1,32,2,2,0,0,0,316,5,0,0,0,0,3,22,0,0,4,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1520550000,480,63,1650,32,5,41,26,64,39,471,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1520636400,43,11,865,25,8,17,3,35,3,223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
